[1, 0.25, 0.25, 0, 1.57e-13, 7.9e-14]
[2, 0.25, 0.75, 3.5417e-11, 1.81e-13, 8.4e-14]
[3, 0.25, 1.25, 8.854e-12, 2.1e-13, 9e-14]
[4, 0.25, 1.75, 3.935e-12, 2.46e-13, 9.6e-14]
[5, 0.25, 2.25, 2.214e-12, 2.93e-13, 1.02e-13]
[6, 0.25, 2.75, 1.417e-12, 3.54e-13, 1.09e-13]
[7, 0.25, 3.25, 9.84e-13, 4.37e-13, 1.16e-13]
[8, 0.25, 3.75, 7.23e-13, 5.53e-13, 1.23e-13]
[9, 0.25, 4.25, 5.53e-13, 7.23e-13, 1.29e-13]
[10, 0.25, 4.75, 4.37e-13, 9.84e-13, 1.36e-13]
[11, 0.25, 5.25, 3.54e-13, 1.417e-12, 1.42e-13]
[12, 0.25, 5.75, 2.93e-13, 2.214e-12, 1.47e-13]
[13, 0.25, 6.25, 2.46e-13, 3.935e-12, 1.51e-13]
[14, 0.25, 6.75, 2.1e-13, 8.854e-12, 1.55e-13]
[15, 0.25, 7.25, 1.81e-13, 3.5417e-11, 1.57e-13]
[16, 0.25, 7.75, 1.57e-13, 0, 1.57e-13]
[17, 0.75, 0.25, 3.5417e-11, 1.57e-13, 8.4e-14]
[18, 0.75, 0.75, 1.7708e-11, 1.8e-13, 9e-14]
[19, 0.75, 1.25, 7.083e-12, 2.08e-13, 9.7e-14]
[20, 0.75, 1.75, 3.542e-12, 2.44e-13, 1.04e-13]
[21, 0.75, 2.25, 2.083e-12, 2.9e-13, 1.12e-13]
[22, 0.75, 2.75, 1.362e-12, 3.51e-13, 1.2e-13]
[23, 0.75, 3.25, 9.57e-13, 4.32e-13, 1.28e-13]
[24, 0.75, 3.75, 7.08e-13, 5.45e-13, 1.36e-13]
[25, 0.75, 4.25, 5.45e-13, 7.08e-13, 1.45e-13]
[26, 0.75, 4.75, 4.32e-13, 9.57e-13, 1.53e-13]
[27, 0.75, 5.25, 3.51e-13, 1.362e-12, 1.6e-13]
[28, 0.75, 5.75, 2.9e-13, 2.083e-12, 1.67e-13]
[29, 0.75, 6.25, 2.44e-13, 3.542e-12, 1.73e-13]
[30, 0.75, 6.75, 2.08e-13, 7.083e-12, 1.77e-13]
[31, 0.75, 7.25, 1.8e-13, 1.7708e-11, 1.8e-13]
[32, 0.75, 7.75, 1.57e-13, 3.5417e-11, 1.81e-13]
[33, 1.25, 0.25, 8.854e-12, 1.55e-13, 9e-14]
